Senegalimassilia anaerobia
Skermanella aerolata
Slackia isoflavoniconvertens
Sneathia amnii
Sneathia sanguinegens
Solobacterium moorei
Sphingomonas mucosissima
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus lugdunensis
Stenotrophomonas maltophilia
Streptococcus mutans
Streptococcus oralis
Streptococcus parasanguinis
Sutterella wadsworthensis
Treponema succinifaciens
Turicibacter sanguinis
Ureaplasma urealyticum
Veillonella atypica
Veillonella dispar
Veillonella montpellierensis
Veillonella parvula
Veillonella rogosae
Veillonella tobetsuensis
